Transcription en direct,Streaming en direct,Diarisation en ligne,STT 100 % local,Résumé LLM glissant,Multi-source,API Python ergonomique,Multi-surface,Hors ligne
vocal-helper,5,4,5,5,5,5,5,5
whisper.cpp,3,1,5,1,2,2,2,5
openai-whisper,1,1,5,1,2,3,2,5
faster-whisper,2,1,5,1,2,4,2,5
WhisperX,1,2,5,1,2,3,2,5
whisper_streaming,5,1,5,1,3,3,3,3
pyannote.audio,2,4,1,1,2,3,1,5
NVIDIA NeMo,3,4,4,1,3,2,1,5
SpeechBrain,2,2,5,1,2,3,2,5
vosk,4,1,5,1,3,3,3,5
AssemblyAI,5,4,1,3,3,4,3,1
Deepgram,5,4,1,2,3,4,3,1
Otter.ai,5,3,1,3,2,1,2,1
